Inst,STABBR,PublicPrivate,md_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10
"<a href=""http://www.belmont.edu"">Belmont University</a>",TN,32120,39100,56500,83800
"<a href=""http://www.bryan.edu"">Bryan College-Dayton</a>",TN,14928,35500,51800,69600
"<a href=""http://www.cn.edu"">Carson-Newman University</a>",TN,14549,35400,48500,68300
"<a href=""http://www.chattanoogastate.edu"">Chattanooga State Community College</a>",TN,8062,27700,41900,57000
"<a href=""http://www.cbu.edu"">Christian Brothers University</a>",TN,6336,45300,65200,87500
"<a href=""http://www.clevelandstatecc.edu"">Cleveland State Community College</a>",TN,5321,27300,43100,61900
"<a href=""http://www.columbiastate.edu"">Columbia State Community College</a>",TN,6300,28500,41900,59700
"<a href=""http://www.concorde.edu"">Concorde Career College-Memphis</a>",TN,19159,22600,31900,42700
"<a href=""http://www.cumberland.edu"">Cumberland University</a>",TN,16593,35000,48800,67300
"<a href=""http://www.lipscomb.edu"">Lipscomb University</a>",TN,21797,39000,58600,82200
"<a href=""http://www.tcatdickson.edu"">Tennessee College of Applied Technology-Dickson</a>",TN,9342,26500,39100,51700
"<a href=""http://www.daymarinstitute.edu"">Daymar Institute-Nashville</a>",TN,25020,22500,33900,46400
"<a href=""http://www.dscc.edu"">Dyersburg State Community College</a>",TN,9402,27600,41300,57500
"<a href=""http://www.etsu.edu"">East Tennessee State University</a>",TN,14941,34000,48300,69400
"<a href=""http://www.chattanoogacollege.edu"">Chattanooga College Medical Dental and Technical Careers</a>",TN,19709,25100,41100,55300
"<a href=""http://www.tcatelizabethton.edu"">Tennessee College of Applied Technology-Elizabethton</a>",TN,7163,25000,35900,49300
"<a href=""http://www.fisk.edu"">Fisk University</a>",TN,20875,33800,46600,61100
"<a href=""http://WWW.Welch.EDU"">Welch College</a>",TN,17016,31200,48200,64200
"<a href=""http://www.fhu.edu"">Freed-Hardeman University</a>",TN,18905,37000,51700,74800
"<a href=""http://www.tcatharriman.edu"">Tennessee College of Applied Technology-Harriman</a>",TN,8424,26600,37900,48100
"<a href=""http://www.hiwassee.edu"">Hiwassee College</a>",TN,15126,25500,40800,55600
"<a href=""http://www.tcathohenwald.edu"">Tennessee College of Applied Technology-Hohenwald</a>",TN,9283,26200,37000,53200
"<a href=""http://www.tcatjacksboro.edu"">Tennessee College of Applied Technology-Jacksboro</a>",TN,6532,25600,39200,49600
"<a href=""http://www.jscc.edu"">Jackson State Community College</a>",TN,8819,27200,39400,51700
"<a href=""http://www.johnsonu.edu"">Johnson University</a>",TN,13351,29400,38800,58800
"<a href=""http://www.king.edu"">King University</a>",TN,15532,39700,58900,91100
"<a href=""http://www.southcollegetn.edu"">South College</a>",TN,28696,22400,33900,47400
"<a href=""http://www.lanecollege.edu"">Lane College</a>",TN,10823,25000,36800,50600
"<a href=""http://www.loc.edu"">Le Moyne-Owen College</a>",TN,12091,28300,44400,60200
"<a href=""http://www.leeuniversity.edu"">Lee University</a>",TN,13104,32400,44800,60400
"<a href=""http://www.lmunet.edu"">Lincoln Memorial University</a>",TN,9095,37500,50700,69900
"<a href=""http://www.tcatlivingston.edu"">Tennessee College of Applied Technology-Livingston</a>",TN,5044,25300,34300,44200
"<a href=""http://www.martinmethodist.edu"">Martin Methodist College</a>",TN,15276,29100,41900,58900
"<a href=""http://www.maryvillecollege.edu"">Maryville College</a>",TN,14809,36500,50100,76400
"<a href=""http://www.tcatmckenzie.edu"">Tennessee College of Applied Technology-McKenzie</a>",TN,9743,20400,34800,48900
"<a href=""http://www.mca.edu"">Memphis College of Art</a>",TN,20870,26700,40800,55500
"<a href=""http://www.tcatmemphis.edu"">Tennessee College of Applied Technology-Memphis</a>",TN,5982,27200,41300,54700
"<a href=""http://www.memphis.edu"">University of Memphis</a>",TN,12258,37000,54200,74200
"<a href=""http://www.victory.edu"">Victory University</a>",TN,19900,39000,55900,75000
"<a href=""http://www.mtsu.edu"">Middle Tennessee State University</a>",TN,9169,36100,50700,72200
"<a href=""http://www.milligan.edu"">Milligan College</a>",TN,16772,36400,50900,75800
"<a href=""http://www.ttcmorristown.edu"">Tennessee College of Applied Technology-Morristown</a>",TN,8472,25400,38000,52300
"<a href=""http://www.mscc.edu"">Motlow State Community College</a>",TN,7641,26700,39000,54300
"<a href=""http://www.nadcedu.com"">Lincoln College of Technology-Nashville</a>",TN,14949,38900,52400,69800
"<a href=""http://www.Nashvillecollege.com"">Nashville College of Medical Careers</a>",TN,22257,23200,31600,38600
"<a href=""http://www.nscc.edu"">Nashville State Community College</a>",TN,6316,30100,44000,61000
"<a href=""http://www.tcatnewbern.edu"">Tennessee College of Applied Technology-Newbern</a>",TN,7151,22200,37000,50600
"<a href=""http://www.tcatparis.edu"">Tennessee College of Applied Technology-Paris</a>",TN,7014,20900,32400,42600
"<a href=""http://www.ttcpulaski.edu"">Tennessee College of Applied Technology-Pulaski</a>",TN,8335,22300,35500,46500
"<a href=""http://www.rhodes.edu"">Rhodes College</a>",TN,24751,50300,77000,118200
"<a href=""http://www.tcatripley.edu"">Tennessee College of Applied Technology-Ripley</a>",TN,6382,23300,32200,43500
"<a href=""http://www.roanestate.edu"">Roane State Community College</a>",TN,7653,26400,41800,58100
"<a href=""http://www.tcatcrump.edu"">Tennessee College of Applied Technology-Crump</a>",TN,4616,21600,35800,47500
"<a href=""http://www.southwest.tn.edu"">Southwest Tennessee Community College</a>",TN,5011,24700,38100,53300
"<a href=""http://www.tcatshelbyville.edu"">Tennessee College of Applied Technology-Shelbyville</a>",TN,7117,29400,41600,59400
"<a href=""http://www.sewanee.edu"">Sewanee-The University of the South</a>",TN,19102,38200,61700,96500
"<a href=""http://www.tcatoneida.edu"">Tennessee College of Applied Technology-Oneida-Huntsville</a>",TN,6250,24200,35900,44800
"<a href=""http://www.tcatcrossville.edu"">Tennessee College of Applied Technology-Crossville</a>",TN,8188,23000,31900,43300
"<a href=""http://www.tcatmcminnville.edu"">Tennessee College of Applied Technology-McMinnville</a>",TN,9412,25400,38100,50700
"<a href=""http://www.tcatjackson.edu"">Tennessee College of Applied Technology-Jackson</a>",TN,7607,26700,39300,50400
"<a href=""http://www.tcatknoxville.edu/"">Tennessee College of Applied Technology-Knoxville</a>",TN,5330,22200,33400,44100
"<a href=""http://www.tcatwhiteville.edu"">Tennessee College of Applied Technology-Whiteville</a>",TN,11925,21700,35500,52500
"<a href=""http://www.pstcc.edu/"">Pellissippi State Community College</a>",TN,8601,26900,41100,58300
"<a href=""http://www.southern.edu"">Southern Adventist University</a>",TN,18668,38500,57100,83000
"<a href=""http://www.twcnet.edu"">Tennessee Wesleyan College</a>",TN,12576,35300,49300,67000
"<a href=""http://www.utc.edu"">The University of Tennessee-Chattanooga</a>",TN,12056,36500,51100,74600
"<a href=""http://www.tennessee.edu"">The University of Tennessee-Knoxville</a>",TN,14162,42300,65100,94300
"<a href=""http://www.utm.edu"">The University of Tennessee-Martin</a>",TN,6933,34800,48200,67400
"<a href=""http://www.fountainheadcollege.edu"">Fountainhead College of Technology</a>",TN,25922,37600,56400,77300
"<a href=""http://www.tennesseeschoolofbeauty.com"">Tennessee School of Beauty of Knoxville Inc</a>",TN,10813,16500,25500,36700
"<a href=""http://www.tnstate.edu"">Tennessee State University</a>",TN,9571,35800,53100,70300
"<a href=""http://www.tntech.edu"">Tennessee Technological University</a>",TN,11321,37700,56600,79100
"<a href=""http://www.tntemple.edu"">Tennessee Temple University</a>",TN,15003,33300,46300,68700
"<a href=""http://www.trevecca.edu"">Trevecca Nazarene University</a>",TN,16904,39500,55300,80900
"<a href=""http://www.NortheastState.edu"">Northeast State Community College</a>",TN,6658,26100,41500,58600
"<a href=""http://www.tusculum.edu"">Tusculum College</a>",TN,18222,40000,58100,81000
"<a href=""http://www.uu.edu"">Union University</a>",TN,21779,37400,55400,77900
"<a href=""http://www.vanderbilt.edu"">Vanderbilt University</a>",TN,17340,60900,92700,144000
"<a href=""http://www.volstate.edu"">Volunteer State Community College</a>",TN,9201,30100,43100,59600
"<a href=""http://www.ws.edu"">Walters State Community College</a>",TN,4068,26200,39000,54300
"<a href=""http://www.wtbc.edu"">West Tennessee Business College</a>",TN,12577,19200,28200,39600
"<a href=""http://www.acu.edu"">Abilene Christian University</a>",TX,24106,40200,56500,78700
"<a href=""http://www.alvincollege.edu"">Alvin Community College</a>",TX,7436,33000,50900,74300
"<a href=""http://www.actx.edu"">Amarillo College</a>",TX,5882,31300,49000,69500
"<a href=""http://www.americancommercialcollege.com"">American Commercial College-San Angelo</a>",TX,31628,20600,31300,42200
"<a href=""http://americancommercialcollege.com"">American Commercial College-Odessa</a>",TX,21046,20800,31400,44900
"<a href=""http://www.angelina.edu"">Angelina College</a>",TX,5573,26900,41600,60600
"<a href=""http://www.angelo.edu"">Angelo State University</a>",TX,12716,38000,55200,77400
"<a href=""http://www.arlingtonci.com"">Arlington Career Institute</a>",TX,20234,28000,39700,51100
"<a href=""http://www.aih.aii.edu"">The Art Institute of Houston</a>",TX,26501,32900,50100,68400
"<a href=""http://www.austincollege.edu"">Austin College</a>",TX,24019,47600,66800,91200
"<a href=""http://www.austincc.edu"">Austin Community College District</a>",TX,9610,34700,51000,71500
"<a href=""http://www.baylor.edu"">Baylor University</a>",TX,32333,49100,70400,98100
"<a href=""http://www.coastalbend.edu"">Coastal Bend College</a>",TX,6121,26300,43100,63400
"<a href=""http://www.blinn.edu"">Blinn College</a>",TX,11709,36900,55500,78700
"<a href=""http://www.remingtoncollege.edu/dallas-texas-career-schools-overview"">Remington College-Dallas Campus</a>",TX,23170,27200,39300,56900
"<a href=""http://houston.vettechinstitute.edu"">Vet Tech Institute of Houston</a>",TX,14546,28600,41200,52600
"<a href=""http://www.brazosport.edu"">Brazosport College</a>",TX,4048,29900,47600,70600
"<a href=""http://www.brookhavencollege.edu/"">Brookhaven College</a>",TX,6881,37500,54800,73200
"<a href=""http://capcitytradetech.com"">Capitol City Trade and Technical School</a>",TX,28051,26800,40200,55300
"<a href=""http://www.cedarvalleycollege.edu"">Cedar Valley College</a>",TX,6000,29000,42400,57700
"<a href=""http://www.ctcd.edu"">Central Texas College</a>",TX,4375,33700,50900,68900
"<a href=""http://www.cisco.edu"">Cisco College</a>",TX,7434,30400,45000,61700
"<a href=""http://www.clarendoncollege.edu"">Clarendon College</a>",TX,8527,29200,46000,69700
"<a href=""http://www.concordia.edu"">Concordia University-Texas</a>",TX,23257,41000,56700,86600
"<a href=""http://www.nctc.edu"">North Central Texas College</a>",TX,5476,32400,48100,66500
"<a href=""http://www.tamucc.edu"">Texas A & M University-Corpus Christi</a>",TX,13404,42400,57700,81800
"<a href=""http://www.pmtsdallas.com"">Cosmetology Career Center LLC</a>",TX,19862,23400,36200,55700
"<a href=""http://www.cri.edu"">Court Reporting Institute of Dallas</a>",TX,22401,30400,45200,61400
"<a href=""http://www.dbu.edu"">Dallas Baptist University</a>",TX,21360,42200,58100,81300
"<a href=""http://www.dallas.edu"">Dallas Christian College</a>",TX,18630,42200,55800,81600
"<a href=""http://www.dallasinstitute.edu"">Dallas Institute of Funeral Service</a>",TX,17795,33200,49700,67800
"<a href=""http://www.udallas.edu"">University of Dallas</a>",TX,25158,45200,58400,83700
"<a href=""http://www.delmar.edu"">Del Mar College</a>",TX,5167,29100,47300,68800
"<a href=""http://www.careerpointcollege.edu"">Career Point College</a>",TX,22299,19400,29100,38700
"<a href=""http://www.etbu.edu"">East Texas Baptist University</a>",TX,17932,36700,50500,76600
"<a href=""http://www.tamut.edu"">Texas A & M University-Texarkana</a>",TX,8258,35800,46900,65000
"<a href=""http://www.tamuc.edu/"">Texas A & M University-Commerce</a>",TX,10459,37100,48900,65500
"<a href=""http://www.eastfieldcollege.edu/"">Eastfield College</a>",TX,7054,31800,45600,62700
"<a href=""http://www.elcentrocollege.edu/"">El Centro College</a>",TX,6033,28800,44900,65000
"<a href=""http://www.epcc.edu"">El Paso Community College</a>",TX,3697,25500,41300,60200
"<a href=""http://www.westerntech.edu"">Western Technical College</a>",TX,20138,30600,45500,65000
"<a href=""http://www.artinstitutes.edu/dallas/"">South University-The Art Institute of Dallas</a>",TX,26846,29800,45900,67200
"<a href=""http://ftwbeautyschool.com"">Fort Worth Beauty School</a>",TX,9762,17000,26200,39100
"<a href=""http://www.fpctx.edu"">Frank Phillips College</a>",TX,6172,29500,49000,66700
"<a href=""http://www.gc.edu"">Galveston College</a>",TX,3268,30400,45400,63100
"<a href=""http://www.grayson.edu"">Grayson College</a>",TX,8851,32200,49700,69300
"<a href=""http://www.hallmarkcollege.edu"">Hallmark College</a>",TX,16015,34400,51900,72500
"<a href=""http://www.hsutx.edu"">Hardin-Simmons University</a>",TX,21071,38600,54500,80700
"<a href=""http://www.tvcc.edu"">Trinity Valley Community College</a>",TX,6995,28500,43800,65800
"<a href=""http://www.hillcollege.edu"">Hill College</a>",TX,8504,28200,43200,61100
"<a href=""http://www.hbu.edu"">Houston Baptist University</a>",TX,19784,43600,59400,85900
"<a href=""http://www.hccs.edu"">Houston Community College</a>",TX,8671,32700,50200,71200
"<a href=""http://www.uhd.edu"">University of Houston-Downtown</a>",TX,10898,42800,57300,82000
"<a href=""http://www.uhv.edu"">University of Houston-Victoria</a>",TX,9766,39300,51900,71200
"<a href=""http://www.uh.edu/students"">University of Houston</a>",TX,12822,48300,70000,100000
"<a href=""http://www.howardcollege.edu"">Howard College</a>",TX,6506,29200,45300,64300
"<a href=""http://www.hputx.edu"">Howard Payne University</a>",TX,17678,37300,50300,68900
"<a href=""http://www.htu.edu"">Huston-Tillotson University</a>",TX,17868,30500,42700,55400
"<a href=""http://www.uiw.edu"">University of the Incarnate Word</a>",TX,19405,42700,58900,85300
"<a href=""http://www.ibcelpaso.edu"">International Business College-El Paso</a>",TX,17890,19400,28500,41300
"<a href=""http://www.itt-tech.edu"">ITT Technical Institute-Arlington</a>",TX,23932,38400,56000,77000
"<a href=""http://www.itt-tech.edu"">ITT Technical Institute-Houston West</a>",TX,22146,38400,56000,77000
"<a href=""http://www.jacksonville-college.edu"">Jacksonville College-Main Campus</a>",TX,5119,23700,36200,53600
"<a href=""http://www.jarvis.edu"">Jarvis Christian College</a>",TX,16469,25800,38600,49600
"<a href=""http://www.KDSTUDIO.COM"">KD College Conservatory of Film and Dramatic Arts</a>",TX,20080,25700,43300,54900
"<a href=""http://www.kilgore.edu"">Kilgore College</a>",TX,4875,26500,42600,64600
"<a href=""http://www.lamar.edu"">Lamar University</a>",TX,16109,38800,59300,89300
"<a href=""http://www.lsco.edu"">Lamar State College-Orange</a>",TX,3478,26600,44200,66500
"<a href=""http://www.lamarpa.edu"">Lamar State College-Port Arthur</a>",TX,9632,27600,44200,65400
"<a href=""http://www.laredobeautycollege.net/"">Laredo Beauty College Inc</a>",TX,4495,16000,22800,34400
"<a href=""http://www.laredo.edu"">Laredo Community College</a>",TX,4429,28300,45100,64900
"<a href=""http://tamiu.edu"">Texas A & M International University</a>",TX,5282,45200,53500,72500
"<a href=""http://www.lee.edu"">Lee College</a>",TX,7175,28600,45600,70800
"<a href=""http://www.letu.edu"">LeTourneau University</a>",TX,19814,50000,76500,104300
"<a href=""http://lincolntech.com"">Lincoln College of Technology-Grand Prairie</a>",TX,18338,35000,51100,66900
"<a href=""http://www.lcu.edu"">Lubbock Christian University</a>",TX,19795,36700,53300,76300
"<a href=""http://www.com.edu"">College of the Mainland</a>",TX,7864,28400,45200,68000
"<a href=""http://www.umhb.edu"">University of Mary Hardin-Baylor</a>",TX,22487,41700,56500,76400
"<a href=""http://www.mclennan.edu"">McLennan Community College</a>",TX,7455,30500,45100,62700
"<a href=""http://www.mcm.edu/"">McMurry University</a>",TX,17803,37200,51200,75400
"<a href=""http://metroplexbeautyschool.info"">Metroplex Beauty School</a>",TX,5399,16800,30300,39100
"<a href=""http://www.midland.edu"">Midland College</a>",TX,7030,33500,51400,73200
"<a href=""http://www.mwsu.edu"">Midwestern State University</a>",TX,9996,38500,54900,73100
"<a href=""http://www.wadecollege.edu"">Wade College</a>",TX,22461,26800,41800,58200
"<a href=""http://www.scitexas.edu"">Southern Careers Institute-Austin</a>",TX,27157,20300,29700,39300
"<a href=""http://www.dcccd.edu"">Mountain View College</a>",TX,6984,30700,44200,59400
"<a href=""http://www.everest.edu/campus/san_antonio"">Everest Institute-San Antonio</a>",TX,21868,23700,34700,47500
"<a href=""http://www.tintschoolofmakeupandcosmetology.com"">Tint School of Makeup and Cosmetology-Irving</a>",TX,11963,17200,27200,38000
"<a href=""http://www.navarrocollege.edu"">Navarro College</a>",TX,8957,31100,45400,63400
"<a href=""http://www.lonestar.edu"">Lone Star College System</a>",TX,6141,32900,49700,69500
"<a href=""http://www.northlakecollege.edu/Pages/default.aspx"">North Lake College</a>",TX,6822,35900,51400,74000
"<a href=""http://www.unt.edu"">University of North Texas</a>",TX,10774,42100,57800,79500
"<a href=""http://www.ntcc.edu"">Northeast Texas Community College</a>",TX,6421,26500,41600,63300
"<a href=""http://www.northwood.edu"">Northwood University-Texas</a>",TX,12000,44600,64100,91200
"<a href=""http://www.oceancorp.com"">Ocean Corporation</a>",TX,23447,46900,78500,111500
"<a href=""http://www.odessa.edu"">Odessa College</a>",TX,4294,32000,50600,72500
"<a href=""http://www.ogleschool.com"">Ogle School Hair Skin Nails-Arlington</a>",TX,16399,18800,31000,47900
"<a href=""http://www.ogleschool.com"">Ogle School Hair Skin Nails-Ft Worth</a>",TX,16678,17900,32600,47000
"<a href=""http://www.ollusa.edu"">Our Lady of the Lake University</a>",TX,16080,39200,50800,69200
"<a href=""http://www.utpa.edu"">The University of Texas-Pan American</a>",TX,2452,40500,52200,77700
"<a href=""http://WWW.UTB.EDU"">The University of Texas at Brownsville</a>",TX,7793,29400,45200,65600
"<a href=""http://www.panola.edu"">Panola College</a>",TX,7734,29400,46000,67300
"<a href=""http://www.parisjc.edu/"">Paris Junior College</a>",TX,6058,26400,42000,60200
"<a href=""http://www.pqc.edu"">Paul Quinn College</a>",TX,13197,29500,44000,53500
"<a href=""http://www.pvamu.edu"">Prairie View A & M University</a>",TX,9394,33600,49800,71600
"<a href=""http://www.rangercollege.edu"">Ranger College</a>",TX,5293,30300,43400,56200
"<a href=""http://www.rice.edu"">Rice University</a>",TX,16730,59900,95600,161600
"<a href=""http://www.richlandcollege.edu/"">Richland College</a>",TX,7580,36200,51200,72100
"<a href=""http://www.kaplancollege.com/mcallen-tx/"">Kaplan College-McAllen</a>",TX,20534,23600,33200,44700
"<a href=""http://www.stedwards.edu"">Saint Edward's University</a>",TX,20191,44700,64800,89500
"<a href=""http://www.alamo.edu/spc/"">St Philip's College</a>",TX,4412,28800,44900,63000
"<a href=""http://www.shsu.edu/"">Sam Houston State University</a>",TX,12392,41400,55300,78900
"<a href=""http://www.alamo.edu/sac"">San Antonio College</a>",TX,4461,30600,45800,65100
"<a href=""http://www.sjcd.edu"">San Jacinto Community College</a>",TX,7217,35600,52400,75600
"<a href=""http://www.schreiner.edu"">Schreiner University</a>",TX,18154,36700,51900,69100
"<a href=""http://www.stmarytx.edu/"">St Mary's University</a>",TX,18791,46300,61600,85300
"<a href=""http://www.southplainscollege.edu/"">South Plains College</a>",TX,3079,30300,45600,64900
"<a href=""http://www.stvt.edu"">South Texas Vo-Tech Institute</a>",TX,27740,19100,30200,43200
"<a href=""http://www.stvt.edu"">South Texas Vocational Technical Institute-McAllen</a>",TX,25949,18900,29500,45600
"<a href=""http://www.smu.edu"">Southern Methodist University</a>",TX,30408,52200,80100,126200
"<a href=""http://www.sws.edu"">Southwest School of Business and Technical Careers-San Antonio</a>",TX,17340,20000,27500,35800
"<a href=""http://www.swse.net"">Southwest Institute of Technology</a>",TX,33659,32600,47800,66800
"<a href=""http://www.swtjc.net"">Southwest Texas Junior College</a>",TX,6903,26500,40600,58800
"<a href=""http://www.sagu.edu"">Southwestern Assemblies of God University</a>",TX,21158,31600,45400,63500
"<a href=""http://www.southwestern.edu"">Southwestern University</a>",TX,21292,47200,68000,96300
"<a href=""http://www.sfasu.edu"">Stephen F Austin State University</a>",TX,18853,39700,53300,74100
"<a href=""http://www.txstate.edu"">Texas State University</a>",TX,14104,43700,60000,82200
"<a href=""http://www.swau.edu/"">Southwestern Adventist University</a>",TX,18102,37900,55400,79100
"<a href=""http://www.swcc.edu"">Southwestern Christian College</a>",TX,6461,22500,38100,53700
"<a href=""http://www.sulross.edu"">Sul Ross State University</a>",TX,11064,38000,48900,70400
"<a href=""http://www.tarleton.edu"">Tarleton State University</a>",TX,14978,40400,55800,78500
"<a href=""http://www.tccd.edu"">Tarrant County College District</a>",TX,5983,34300,50000,69600
"<a href=""http://www.templejc.edu"">Temple College</a>",TX,7194,31100,45600,65600
"<a href=""http://www.waco.tstc.edu"">Texas State Technical College-Waco</a>",TX,8104,33500,54300,77500
"<a href=""http://www.texarkanacollege.edu"">Texarkana College</a>",TX,8707,27200,42300,55600
"<a href=""http://WWW.TAMUK.EDU"">Texas A & M University-Kingsville</a>",TX,11845,39700,55600,81200
"<a href=""http://www.tamu.edu"">Texas A & M University-College Station</a>",TX,10912,52900,79000,110600
"<a href=""http://WWW.UTA.EDU"">The University of Texas at Arlington</a>",TX,13969,46400,65200,88100
"<a href=""http://www.utexas.edu"">The University of Texas at Austin</a>",TX,15721,52800,81900,120000
"<a href=""http://www.utdallas.edu"">The University of Texas at Dallas</a>",TX,11395,49500,74900,102300
"<a href=""http://www.utep.edu"">The University of Texas at El Paso</a>",TX,7586,39800,54000,77900
"<a href=""http://www.uttyler.edu/"">The University of Texas at Tyler</a>",TX,12259,41600,62100,87400
"<a href=""http://www.tcu.edu/"">Texas Christian University</a>",TX,31257,49100,71600,100100
"<a href=""http://www.texascollege.edu"">Texas College</a>",TX,16201,23300,37000,49700
"<a href=""http://www.tlu.edu"">Texas Lutheran University</a>",TX,17949,43600,57900,86000
"<a href=""http://www.utpb.edu"">The University of Texas of the Permian Basin</a>",TX,7688,42400,55900,82100
"<a href=""http://www.utsa.edu/"">The University of Texas at San Antonio</a>",TX,11796,44100,58600,81400
"<a href=""http://www.tsb.edu/houston-tx/"">Texas School of Business-North Campus</a>",TX,22052,23100,34100,44200
"<a href=""http://www.tsu.edu"">Texas Southern University</a>",TX,18312,31300,47300,72500
"<a href=""http://www.ttu.edu"">Texas Tech University</a>",TX,15403,46100,67100,96800
"<a href=""http://www.texasvocationalschools.com"">Texas Vocational Schools Inc</a>",TX,14095,26200,43500,61100
"<a href=""http://www.txwes.edu"">Texas Wesleyan University</a>",TX,21436,39500,51500,67900
"<a href=""http://www.twu.edu"">Texas Woman's University</a>",TX,9055,44800,64200,83700
"<a href=""http://www.trinity.edu"">Trinity University</a>",TX,22389,53200,78400,113200
"<a href=""http://www.harlingen.tstc.edu"">Texas State Technical College-Harlingen</a>",TX,9654,26900,43200,63600
"<a href=""http://www.westtexas.tstc.edu"">Texas State Technical College-West Texas</a>",TX,17366,30500,44800,65100
"<a href=""http://WWW.TJC.EDU"">Tyler Junior College</a>",TX,8229,30400,47000,66600
"<a href=""http://www.uti.edu"">Universal Technical Institute of Texas Inc.</a>",TX,18030,40200,58600,80300
"<a href=""http://www.ucastx.com"">University of Cosmetology Arts & Sciences-McAllen</a>",TX,11477,15200,24000,36000
"<a href=""http://www.vernoncollege.edu"">Vernon College</a>",TX,6282,29900,45300,63300
"<a href=""http://www.victoriabeautycollegeinc.com"">Victoria Beauty College Inc</a>",TX,8007,17600,26700,45100
"<a href=""http://www.victoriacollege.edu"">Victoria College</a>",TX,7798,32500,48000,68500
"<a href=""http://www.wbu.edu"">Wayland Baptist University</a>",TX,15137,40900,58300,78700
"<a href=""http://www.wc.edu"">Weatherford College</a>",TX,6153,31600,48700,67700
"<a href=""http://www.wtamu.edu"">West Texas A & M University</a>",TX,11164,40000,55800,78400
"<a href=""http://www.wtc.edu"">Western Texas College</a>",TX,4229,30400,46500,78400
"<a href=""http://www.wcjc.edu"">Wharton County Junior College</a>",TX,4737,34300,52100,71700
"<a href=""http://wileyc.edu"">Wiley College</a>",TX,12089,28000,40100,54500
"<a href=""http://www.ameritech.edu"">AmeriTech College-Provo</a>",UT,10251,23800,36900,52500
"<a href=""http://www.batc.edu"">Bridgerland Applied Technology College</a>",UT,1663,25800,45700,61100
"<a href=""http://www.byu.edu"">Brigham Young University-Provo</a>",UT,13070,57400,89700,127300
"<a href=""http://www.byuh.edu/"">Brigham Young University-Hawaii</a>",HI,10441,39400,62500,87300
"<a href=""http://www.broadviewuniversity.edu"">Broadview University-West Jordan</a>",UT,22686,27900,42200,56500
"<a href=""http://www.datc.edu"">Davis Applied Technology College</a>",UT,438,26400,44200,61600
"<a href=""http://www.dixie.edu/"">Dixie State University</a>",UT,15399,34600,51000,76700
"<a href=""http://EAGLEGATECOLLEGE.EDU"">Eagle Gate College-Murray</a>",UT,19957,29700,43200,58000
"<a href=""http://www.itt-tech.edu"">ITT Technical Institute-Murray</a>",UT,24182,38400,56000,77000
"<a href=""http://www.ldsbc.edu"">Latter-day Saints Business College</a>",UT,10334,30400,52200,74400
"<a href=""http://www.everest.edu/campus/salt_lake_city"">Everest College-Salt Lake City</a>",UT,19867,23900,37200,50500
"<a href=""http://www.owatc.edu"">Ogden-Weber Applied Technology College</a>",UT,9079,23900,38400,56300
"<a href=""http://www.snow.edu"">Snow College</a>",UT,9341,28600,46400,64500
"<a href=""http://www.suu.edu/"">Southern Utah University</a>",UT,14336,37200,54200,78600
"<a href=""http://www.stevenshenager.edu"">Stevens-Henager College-Ogden</a>",UT,19655,31700,48200,69900
"<a href=""http://www.stevenshenager.edu/locations/st-george"">Stevens-Henager College of Business-Provo</a>",UT,21551,31700,48200,69900
"<a href=""http://www.usu.edu"">Utah State University</a>",UT,10954,42400,65000,88000
"<a href=""http://www.uvu.edu"">Utah Valley University</a>",UT,9642,43500,67000,94600
"<a href=""http://www.slcc.edu"">Salt Lake Community College</a>",UT,7169,36200,55500,77900
"<a href=""http://www.utah.edu"">University of Utah</a>",UT,14114,49300,75200,108700
"<a href=""http://www.weber.edu"">Weber State University</a>",UT,9760,42400,63300,88000
"<a href=""http://www.bennington.edu"">Bennington College</a>",VT,29960,26500,40900,55800
"<a href=""http://www.burlington.edu"">Burlington College</a>",VT,25659,28900,39400,51000
"<a href=""http://www.castleton.edu"">Castleton State College</a>",VT,16539,34600,48800,67300
"<a href=""http://www.champlain.edu"">Champlain College</a>",VT,31564,40400,54600,73000
"<a href=""http://www.ccv.edu"">Community College of Vermont</a>",VT,10159,25400,38800,53500
"<a href=""http://www.goddard.edu"">Goddard College</a>",VT,21525,25800,45200,61900
"<a href=""http://www.greenmtn.edu"">Green Mountain College</a>",VT,19990,30600,44100,55400
"<a href=""http://www.jsc.edu"">Johnson State College</a>",VT,14308,32200,45000,61800
"<a href=""http://WWW.LYNDONSTATE.EDU"">Lyndon State College</a>",VT,14059,34100,44900,61100
"<a href=""http://www.middlebury.edu"">Middlebury College</a>",VT,25025,53400,84800,165400
"<a href=""http://www.neci.edu"">New England Culinary Institute</a>",VT,22425,34400,49400,67600
"<a href=""http://www.norwich.edu"">Norwich University</a>",VT,26560,45300,65700,85200
"<a href=""http://www.smcvt.edu"">Saint Michael's College</a>",VT,27261,46300,64100,89500
"<a href=""http://www.csj.edu"">College of St Joseph</a>",VT,17398,36900,47900,61900
"<a href=""http://www.svc.edu"">Southern Vermont College</a>",VT,21372,34800,52900,71200
"<a href=""http://www.vtc.edu"">Vermont Technical College</a>",VT,17433,44200,57900,74600
"<a href=""http://www.uvm.edu"">University of Vermont</a>",VT,14876,44000,63100,86800
"<a href=""http://www.auto.edu"">Advanced Technology Institute</a>",VA,19692,35300,50500,65300
"<a href=""http://www.averett.edu"">Averett University</a>",VA,18671,42300,62900,87000
