Inst,STABBR,PublicPrivate,md_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10
"<a href=""http://www.fullcoll.edu"">Fullerton College</a>",CA,4476,32700,51800,72600
"<a href=""http://www.gavilan.edu"">Gavilan College</a>",CA,5953,26900,46700,67200
"<a href=""http://www.gia.edu"">Gemological Institute of America-Carlsbad</a>",CA,30560,38800,59900,82700
"<a href=""http://www.success.edu"">Glendale Career College</a>",CA,17305,27800,40900,56800
"<a href=""http://www.goldenwestcollege.edu"">Golden West College</a>",CA,10198,31700,51300,79600
"<a href=""http://www.grossmont.edu/"">Grossmont College</a>",CA,2288,32300,52600,77500
"<a href=""http://www.hartnell.edu"">Hartnell College</a>",CA,8661,29500,47400,67000
"<a href=""http://www.hmc.edu"">Harvey Mudd College</a>",CA,24311,78600,106800,146900
"<a href=""http://www.heald.edu"">Heald College-Rancho Cordova</a>",CA,19094,35200,51500,70000
"<a href=""http://www.heald.edu"">Heald College-Fresno</a>",CA,16916,30100,46500,64300
"<a href=""http://www.heald.edu"">Heald College-San Jose</a>",CA,17689,42100,59500,79900
"<a href=""http://www.heald.edu"">Heald College-San Francisco</a>",CA,17940,37400,56000,78300
"<a href=""http://www.Heald.edu"">Heald College-Concord</a>",CA,17666,40000,59500,78800
"<a href=""http://www.hnu.edu"">Holy Names University</a>",CA,27303,50100,70700,107800
"<a href=""http://www.humboldt.edu"">Humboldt State University</a>",CA,14715,36200,53600,73900
"<a href=""http://www.humphreys.edu"">Humphreys College-Stockton and Modesto Campuses</a>",CA,14877,31300,46100,62500
"<a href=""http://www.imperial.edu"">Imperial Valley College</a>",CA,2916,24500,41300,65500
"<a href=""http://www.ibttech.com"">Institute for Business and Technology</a>",CA,22546,35500,55100,71900
"<a href=""http://www.ivc.edu"">Irvine Valley College</a>",CA,10437,35200,57500,85500
"<a href=""http://www.itt-tech.edu"">ITT Technical Institute-National City</a>",CA,23139,38400,56000,77000
"<a href=""http://www.itt-tech.edu"">ITT Technical Institute-San Dimas</a>",CA,21613,38400,56000,77000
"<a href=""http://www.itt-tech.edu"">ITT Technical Institute-Orange</a>",CA,22434,38400,56000,77000
"<a href=""http://www.bellusacademy.edu"">Bellus Academy-El Cajon</a>",CA,24926,17000,29600,42000
"<a href=""http://www.reedleycollege.edu"">Reedley College</a>",CA,3813,25200,39900,57500
"<a href=""http://www.lifepacific.edu"">Life Pacific College</a>",CA,16827,31200,48200,72800
"<a href=""http://www.artinstitutes.edu/san-diego/"">The Art Institute of California-Argosy University San Diego</a>",CA,24859,38200,56100,75000
"<a href=""http://www.laverne.edu/"">University of La Verne</a>",CA,20847,52700,71700,96200
"<a href=""http://www.ltcc.edu"">Lake Tahoe Community College</a>",CA,4811,28400,48000,69200
"<a href=""http://lancasterbeautyschool.com"">Lancaster Beauty School</a>",CA,13466,15700,27700,40600
"<a href=""http://www.laney.edu/wp/"">Laney College</a>",CA,8246,27600,47400,68900
"<a href=""http://www.lassencollege.edu/"">Lassen Community College</a>",CA,7800,25300,43400,59700
"<a href=""http://www.lasierra.edu"">La Sierra University</a>",CA,22680,41300,64300,87100
"<a href=""http://www.lbcc.edu"">Long Beach City College</a>",CA,4732,27800,44500,64600
"<a href=""http://www.lahc.edu"">Los Angeles Harbor College</a>",CA,8346,29700,49200,73100
